素材ID（巨量）,标题,星图任务ID,星图任务名称,抖音号昵称,抖音号,视频播放链接,下单账户名称,消耗,产品名称,数据统计日期
7670531977377202230,简单一键签到，省去复杂操作领取福利 #网赚 #签到 #真人实拍 #福利多多 #抖音商城,7641104807520763955,新LOGO-抖音商城APP-NG-签到01-鲸鱼,我的智能外挂,97830164197,https://douyin.com/video/7670532019411062056,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,19884.44,,2026-08-14
7665252172604293120,碎片时间解闷，打开红果畅快刷短剧 #红果短剧 #AI #HWJLYM,7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251894918466879,红果KOC-鲸鱼-站内-拉新-1,11162.22,,2026-08-14
7670154435016540169,长久坚守每日签到，累计打卡时日越多福利等级越高 #抖音商城 #签到 #网赚 #福利多多 #剪辑制作,7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,苏苏说说看,97720499428,https://douyin.com/video/7670154522911657250,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,7662.74,,2026-08-14
7667579032348180531,各式爽剧全覆盖，打开红果尽情刷 #红果短剧 #AI #HWJLYM,7660403527034355763,红果-NG星广ad-短剧综述AI-02-鲸鱼,动态漫不打烊,29826331833,https://douyin.com/video/7667579271476448552,红果KOC-鲸鱼-站内-拉新-1,3384.63,,2026-08-14
7665251108878778395,居家休闲神器，红果海量短剧随便看 #红果短剧 #AI #HWJLYM,7626972396727304228,红果-NG星广ad-短剧综述AI-鲸鱼,小余爱追剧,38139081311,https://douyin.com/video/7665251159195618602,红果KOC-鲸鱼-站内-拉新-1,3308.38,,2026-08-14
7669781772021596170,每日打开抖音商城签到，随手领取专属消费红包 #网赚 #签到 #真人实拍 #福利多多 #抖音商城,7641105772698173449,新LOGO-抖音商城APP-NG-签到02-鲸鱼,超荟看剧,84179057014,https://douyin.com/video/7669781819272744198,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,2755.23,,2026-08-14
7670529884473294883,点滴签到慢慢累积，漫长坚守收获多重福利 #抖音商城  #签到 #网赚 #福利多多 #剪辑制作,7657431178504634394,新LOGO-抖音商城APP-NG-AI签到01-鲸鱼,信息差喇叭,66610925177,https://douyin.com/video/7670529851564002569,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,2680.34,,2026-08-14
7579978533608062976,熬夜冠军：这短剧我能再追十集mh #番茄小说 #爆火短剧 #免费短剧,7576919195879833609,koc番茄小说-NG星广ad-真人短剧综述-鲸鱼,外卖阿彭,42068123484,https://douyin.com/video/7579978441886403892,KOC达人-番茄小说-鲸鱼-站内-1,2471.19,,2026-08-14
7657530025710420006,长期坚持签到，超值礼品稳稳到手 #网赚 #签到 #真人实拍 #福利多多 #抖音商城,7641104807520763955,新LOGO-抖音商城APP-NG-签到01-鲸鱼,今天下饭看什么,39972332420,https://douyin.com/video/7657530282429451572,抖音商城版-端拉新-星广联投-占位-内广-欧阳朔-霍尔果斯-1,2132.79,,2026-08-14
7577295876219912198,熬夜追完！脑子喊停手却很诚实mh #番茄小说 #爆火短剧 #免费短剧,7571363215192948779,番茄短剧-综述NG-霍尔果斯海洋无限,出片达人小葵,50499034533,https://douyin.com/video/7577295879841926434,鲸鱼-UG星广-内广星广番茄2.0-主账户,2037.72,,2026-08-14
